Name,Hidden containers,Pre-boot authentication,Single sign-on,Custom authentication,Multiple keys,Passphrase strengthening,Hardware acceleration,TPM,Filesystems,Two-factor authentication
Aloaha Secure Stick,Yes,No,—,Yes,Yes,No,No,No,"NTFS, FAT32",Yes
ArchiCrypt Live,Yes,No,—,No,Yes,No,No,No,?,Yes
BestCrypt,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Any supported by OS,Yes
BitArmor DataControl,No,Yes,?,No,Yes,Yes,No,No,"NTFS, FAT32 on non-system volumes",No
BitLocker,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Chiefly NTFS,Yes
Bloombase StoreSafe,No,No,—,Yes,Yes,Yes,Yes,No,Any supported by OS,Yes
CGD,No,No,—,Yes,Yes,Yes,No,No,Any supported by OS,Yes
CenterTools DriveLock,No,Yes,Yes,No,No,Yes,No,No,Any supported by OS,Yes
Check Point Full Disk Encryption,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"NTFS, FAT32",Yes
CipherShed,"Yes
(limited to one per
""outer"" container)",only on Windows,?,No,yes with multiple keyfiles,Yes,Yes,No,"Only Windows MBR volumes; no UEFI GPT drives, and dynamic drives discouraged",Yes
CryFS,No,No,—,No,No,Yes,No,No,Any supported by OS,No
CrossCrypt,No,No,—,No,No,No,No,No,?,No
CryptArchiver,No,No,—,No,No,?,No,No,?,?
Cryptic Disk,Yes,No,No,No,Yes,Yes,Yes,No,Any supported by OS,Yes
Cryhod,No,Yes,Yes,No,Yes,Yes,Yes,No,Any supported by OS,Yes
Cryptoloop,No,Yes,?,Yes,No,No,Yes[citation needed],No,Any supported by OS,?
Cryptomator,No,No,—,No,No,Yes,Yes,No,Any supported by OS,No
CryptoPro Secure Disk Enterprise,Yes with add-on Secure Device,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Any supported by OS,Yes
CryptoPro Secure Disk for BitLocker,Yes with add-on Secure Device,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Any supported by OS,Yes
Cryptsetup / Dmsetup,No,Yes,?,Yes,No,No,Yes,No,Any supported by OS,Yes
DiskCryptor,No,Yes,?,No,No,No,Yes,No,"Windows volumes on MBR and UEFI GPT drives, ReFs any FS supported by OS",Yes
DISK Protect,No,Yes,Yes,No,Yes,No,Yes,Yes,"NTFS, FAT32",Yes
Dm-crypt / LUKS,No,Yes,?,Yes,Yes,Yes,Yes,Partial,Any supported by OS,Yes
DriveSentry GoAnywhere 2,No,No,—,Yes,No,Yes,No,?,Any supported by OS,Yes
E4M,No,No,—,No,No,?,No,No,?,No
e-Capsule Private Safe,Yes,No,—,No,Yes,No,Yes,No,?,?
eCryptfs,No,No,—,Yes,Yes,Yes,Yes,Yes,Yes,Yes
EgoSecure HDD Encryption,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"NTFS, FAT32",Yes
EncryptUSB,No,No,No,No,No,Yes,No,No,"NTFS, FAT32, exFAT",No
FileVault,No,No,—,No,Two passwords,Yes,?,No,"HFS+, possibly others",No
FileVault 2,No,Yes,Yes,No,Yes,Yes,Yes,No,"HFS+, possibly others",No
FREE CompuSec,No,Yes,?,No,No,No,No,No,Any supported by OS,No
FreeOTFE,Yes,No,—,Yes,Yes,Yes,Yes,No,Any supported by OS,Yes
GBDE,No,No,—,Yes,Yes,No,No,No,Any supported by OS,Yes
GELI,No,Yes,?,Yes,Yes,Yes,Yes,No,Any supported by OS,Yes
Loop-AES,No,Yes,?,Yes,Yes,Yes,Yes,No,Any supported by OS,Yes
McAfee Drive Encryption (SafeBoot),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Any supported by OS,Yes
n-Crypt Pro,No,No,—,No,No,—,No,No,?,?
PGPDisk,No,Yes,Yes,?,Yes,Yes,?,Yes,?,Yes
Private Disk,No,No,—,No,Yes,Yes,No,No,Any supported by OS,Yes
ProxyCrypt,Yes,No,No,No,No,Yes,Yes,No,Any supported by OS,Yes
R-Crypto,?,No,—,?,?,?,?,?,Any supported by OS,?
SafeGuard Easy,No,Yes,?,No,Yes,Yes,No,Yes,Any supported by OS,Yes
SafeGuard Enterprise,No,Yes,Yes,No,Yes,Yes,No,Yes,Any supported by OS,Yes
SafeGuard PrivateDisk,No,No,—,No,Yes,Yes,No,Yes,Any supported by OS,Yes
SafeHouse Professional,No,No,—,Yes,Yes,Yes,No,No,Any supported by OS,Yes
Scramdisk,Yes,No,—,No,No,No,No,No,?,Last update to web site 2009-07-02
Scramdisk 4 Linux,Yes,No,—,No,No,Yes,No,No,"ext2, ext3, reiserfs, minix, ntfs, vfat/msdos",No
SecuBox,No,No,—,No,No,Yes,No,No,?,No
SecureDoc,No,Yes,?,Yes,Yes,Yes,Yes,Yes,?,Yes
Seqrite Encryption Manager,No,Yes,Yes,No,Yes,Yes,Yes,No,Any supported by OS,No
Sentry 2020,No,No,?,No,No,No,No,No,?,No
Softraid / RAID C,No,No,?,?,?,?,Yes,?,Any supported by OS,?
Svnd / Vnconfig,No,No,—,No,No,Yes,Yes,?,Any supported by OS,?
Symantec Endpoint Encryption,No,Yes,Yes,Yes,Yes,Yes,No,No,"NTFS, FAT32",Yes
Trend Micro Endpoint Encryption,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Any supported by OS,Yes
TrueCrypt,"Yes
(limited to one per
""outer"" container)",only on Windows,?,No,yes with multiple keyfiles,Yes,Yes,No,"Only Windows MBR volumes; no UEFI GPT drives, and dynamic drives discouraged",Yes
VeraCrypt,"Yes
(limited to one per
""outer"" container)",only on Windows,No,No,yes with multiple keyfiles,Yes,Yes,No,Windows on both MBR and UEFI GPT drives; dynamic drives discouraged,Yes
CyberSafe Top Secret,Yes,No,No,No,Yes,Yes,Yes,No,"Only Windows MBR volumes; no UEFI GPT drives, and dynamic drives discouraged",Yes
Name,Hidden containers,Pre-boot authentication,Single sign-on,Custom authentication,Multiple keys,Passphrase strengthening,Hardware acceleration,TPM,Filesystems,Two-factor authentication
ZzEnc,No,Yes,Yes,Yes,Yes,Yes,No,No,"Windows, Legacy BIOS & UEFI",In UEFI with removable keys store on USB-flash
